split,evaluation_role,estimator,subset,metric,class_level,class_color,value,numerator,denominator,status
calibration,chronological_evaluation_only,ngboost,all,multiclass_brier,,,0.1430532991988428,,,ok
calibration,chronological_evaluation_only,ngboost,all,top_label_ece,,,0.017749824293044114,,,ok
calibration,chronological_evaluation_only,ngboost,all,classwise_ece,0.0,green,0.021268871492340954,,,ok
calibration,chronological_evaluation_only,ngboost,all,one_vs_rest_roc_auc,0.0,green,0.9815458783312465,,,ok
calibration,chronological_evaluation_only,ngboost,all,one_vs_rest_pr_auc,0.0,green,0.9609283399285109,,,ok
calibration,chronological_evaluation_only,ngboost,all,classwise_ece,1.0,blue,0.019374758224158187,,,ok
calibration,chronological_evaluation_only,ngboost,all,one_vs_rest_roc_auc,1.0,blue,0.9738244916562957,,,ok
calibration,chronological_evaluation_only,ngboost,all,one_vs_rest_pr_auc,1.0,blue,0.9665444760957129,,,ok
calibration,chronological_evaluation_only,ngboost,all,classwise_ece,2.0,yellow,0.01968873431562717,,,ok
calibration,chronological_evaluation_only,ngboost,all,one_vs_rest_roc_auc,2.0,yellow,0.9946841776110069,,,ok
calibration,chronological_evaluation_only,ngboost,all,one_vs_rest_pr_auc,2.0,yellow,0.9692790738207239,,,ok
calibration,chronological_evaluation_only,ngboost,all,classwise_ece,3.0,orange,0.018047993967704404,,,ok
calibration,chronological_evaluation_only,ngboost,all,one_vs_rest_roc_auc,3.0,orange,0.9965265965265966,,,ok
