component,outer_days,strategy,part,station,days,rmse_mm,mae_mm,crps_mm,coverage_80,width_80_mm,interval_score_80_mm,coverage_90,width_90_mm,interval_score_90_mm,coverage_95,width_95_mm,interval_score_95_mm
seed_1,612,IN,train,ATU5,582,2.621139853702383,2.105074442190108,34.207157199497594,1.0,374.96935381375204,374.96935381375204,1.0,481.2679559854909,481.2679559854909,1.0,573.4661396044645,573.4661396044645
seed_1,612,IN,train,MJ3,582,1.5546442605220645,1.1514816052668004,2.3976135453409477,1.0,25.232278914482556,25.232278914482556,1.0,32.38527942222299,32.38527942222299,1.0,38.589440537848766,38.589440537848766
seed_1,612,IN,train,MJ1,582,1.7743227382386093,1.332079389570757,3.9603793814575075,1.0,42.61036518384901,42.61036518384901,1.0,54.68981170661879,54.68981170661879,1.0,65.16692999197981,65.16692999197981
seed_1,612,IN,prediction,ATU1,180,9.444455700215487,7.535373414274515,14.75482518362125,1.0,155.42463424140396,155.42463424140396,1.0,199.48535865762184,199.48535865762184,1.0,237.7014657099821,237.7014657099821
seed_1,612,IN,prediction,ATU5,180,8.931981014360126,7.7203174870178675,34.40583710021038,1.0,374.969353813752,374.969353813752,1.0,481.2679559854907,481.2679559854907,1.0,573.4661396044646,573.4661396044646
seed_1,612,IN,prediction,MJ3,180,63.43731746756234,53.14779564830934,48.12420769949846,0.15,25.232278914483018,439.0718486454209,0.23333333333333334,32.38527942222275,802.1549272715637,0.25555555555555554,38.58944053784877,1484.2010806767641
seed_1,612,IN,prediction,MJ1,180,19.47251248575527,15.762933737247446,11.408379931209874,0.5833333333333334,42.61036518384901,70.42487922051413,0.7611111111111111,54.68981170661873,68.75730492415067,0.9722222222222222,65.16692999197977,65.84881622680298
seed_2,612,IN,train,ATU1,582,2.348216366705441,1.7800623867385588,14.572839571517449,1.0,159.44328434147138,159.44328434147138,1.0,204.6432402279674,204.6432402279674,1.0,243.84746067161706,243.84746067161706
seed_2,612,IN,train,ATU5,582,2.7803870927001584,2.2445020305380634,34.320985064141155,1.0,376.1928150734808,376.1928150734808,1.0,482.838251514201,482.838251514201,1.0,575.3372621333756,575.3372621333756
seed_2,612,IN,train,MJ3,582,2.251226916397001,1.6548155800079476,2.685740582322824,1.0,27.41257702783979,27.41257702783979,1.0,35.18366175875837,35.18366175875837,1.0,41.923918754633746,41.923918754633746
