candidate,window,station,days,start,end,observed_mm_day,predicted_mm_day,background_mm_day,other_state_mm_day,fit_days
B_baseline,train_last90,ATU1,90,2017-12-04,2018-03-04,0.1218317518240142,0.0462026036292261,0.0415998719559075,0.0046027316733184,612
B_baseline,train_last90,ATU5,90,2017-12-04,2018-03-04,0.1813365887485177,0.2711334384619085,0.2699144486218571,0.0012189898400511,612
B_baseline,train_last90,MJ3,90,2017-12-04,2018-03-04,0.1527686706277993,0.1921909807185935,0.1773396250694524,0.0148513556491408,612
B_baseline,train_last90,MJ1,90,2017-12-04,2018-03-04,0.1260134164159378,0.1375148619659146,0.1290899971628252,0.0084248648030885,612
B_baseline,prediction_first30,ATU1,30,2018-03-04,2018-04-03,0.0968507320783146,0.0439938291535194,0.041634881462725,0.0023589476907943,612
B_baseline,prediction_first30,ATU5,30,2018-03-04,2018-04-03,0.1397960890381834,0.3200479380125822,0.3189225130090307,0.0011254250035525,612
B_baseline,prediction_first30,MJ3,30,2018-03-04,2018-04-03,-0.0059481800878984,0.378048385343474,0.3055191332157837,0.0725292521276931,612
B_baseline,prediction_first30,MJ1,30,2018-03-04,2018-04-03,0.5738310163987194,0.455230724047946,0.2002920624383302,0.2549386616096176,612
B_baseline,prediction_first90,ATU1,90,2018-03-04,2018-06-02,0.2916803148515081,0.484508353716957,0.0416879678585268,0.4428203858584305,612
B_baseline,prediction_first90,ATU5,90,2018-03-04,2018-06-02,0.4812137341308742,0.5375078237120432,0.336810168843307,0.2006976548687368,612
B_baseline,prediction_first90,MJ3,90,2018-03-04,2018-06-02,0.000145909830356,0.553330833462188,0.4256402497874155,0.1276905836747728,612
B_baseline,prediction_first90,MJ1,90,2018-03-04,2018-06-02,0.56213774326891,0.6699232661412667,0.267045677482121,0.4028775886591462,612
B_baseline,prediction_all,ATU1,180,2018-03-04,2018-08-31,0.2088918655024024,0.2480480232970001,0.0416920144499929,0.2063560088470072,612
B_baseline,prediction_all,ATU5,180,2018-03-04,2018-08-31,0.3841318552735399,0.4359286397659281,0.3435170638022413,0.0924115759636871,612
B_baseline,prediction_all,MJ3,180,2018-03-04,2018-08-31,0.0191414010140508,0.5946733030850648,0.4413731207842752,0.1533001823007903,612
B_baseline,prediction_all,MJ1,180,2018-03-04,2018-08-31,0.3766782808477621,0.5421793656553247,0.2757777666157193,0.2664015990396058,612
A_continued,train_last30,ATU1,30,2018-02-02,2018-03-04,0.0812790529529801,0.1344395304984421,0.1320727379399187,0.0023667925585224,612
A_continued,train_last30,ATU5,30,2018-02-02,2018-03-04,0.1436549175029692,0.1911911155338335,0.1851494411544441,0.0060416743793894,612
A_continued,train_last30,MJ3,30,2018-02-02,2018-03-04,0.1489793833633636,0.2565879554602209,0.253972556408172,0.0026153990520555,612
A_continued,train_last30,MJ1,30,2018-02-02,2018-03-04,0.1525834964413093,0.1605565489571328,0.1587132879686346,0.0018432609884987,612
A_continued,train_last90,ATU1,90,2017-12-04,2018-03-04,0.1218317518240142,0.1258351537273445,0.1247598614647706,0.0010752922625733,612
A_continued,train_last90,ATU5,90,2017-12-04,2018-03-04,0.1813365887485177,0.2127220773783739,0.1837858737338826,0.0289362036444913,612
A_continued,train_last90,MJ3,90,2017-12-04,2018-03-04,0.1527686706277993,0.2418410994258541,0.2430701048074297,-0.001229005381574,612
A_continued,train_last90,MJ1,90,2017-12-04,2018-03-04,0.1260134164159378,0.152377599672228,0.1527498956790278,-0.0003722960067997,612
A_continued,prediction_first30,ATU1,30,2018-03-04,2018-04-03,0.0968507320783146,0.2223840157101638,0.2162417103502084,0.0061423053599564,612
A_continued,prediction_first30,ATU5,30,2018-03-04,2018-04-03,0.1397960890381834,0.2437093495948734,0.2403394302769158,0.0033699193179586,612
