horizon,substep,coordinate,mask,beta,x,gap,delta_plastic_mm,original_x_tolerance_allows,frozen_plastic_gate_pass
1,53,0,15,0.0012848438919450848,0,1300.9110634795445,0,True,True
1,53,1,15,0.0020616428621014738,0,0.3462498106147216,0,True,True
1,53,2,15,0.00028605975644925379,0,670.61945123076543,0,True,True
1,53,3,15,0.030303030303030297,0,94.669966997970178,0,True,True
1,54,0,15,0.0012848438919450848,0,1300.9921339544542,0,True,True
1,54,1,15,0.0020616428621014738,0,0.240347299733774,0,True,True
1,54,2,15,0.00028605975644925379,0,670.60929831049339,0,True,True
1,54,3,15,0.030303030303030297,0,93.998395421919867,0,True,True
1,55,0,15,0.0012848438919450848,0,1301.0728344880256,0,True,True
1,55,1,15,0.0020616428621014738,0,0.13478086574456377,0,True,True
1,55,2,15,0.00028605975644925379,0,670.59915116532466,0,True,True
1,55,3,15,0.030303030303030297,0,93.326857920504551,0,True,True
1,56,0,15,0.0012848438919450848,0,1301.1531653536849,0,True,True
1,56,1,15,0.0020616428621014738,0,0.029550277163441954,0,True,True
1,56,2,15,0.00028605975644925379,0,670.58900961166307,0,True,True
1,56,3,15,0.030303030303030297,0,92.655354675002044,0,True,True
1,57,0,13,0.0012848438919450848,0,1301.2331156500381,0,True,True
1,57,1,13,0.0020616428621014738,2.0071031629695729e-07,0,9.7354551550392804e-05,True,True
1,57,2,13,0.00028605975644925379,0,670.57887347144833,0,True,True
1,57,3,13,0.030303030303030297,0,91.983885861120285,0,True,True
1,58,0,13,0.0012848438919450848,0,1301.3126701708472,0,True,True
1,58,1,13,0.0020616428621014738,4.7918125639941191e-07,-2.7755575615628914e-17,0.00023242689857106138,True,True
1,58,2,13,0.00028605975644925379,0,670.56874257200798,0,True,True
1,58,3,13,0.030303030303030297,0,91.312451649164274,0,True,True
1,59,0,13,0.0012848438919450848,0,1301.3918138002657,0,True,True
1,59,1,13,0.0020616428621014738,7.5664078406748123e-07,-5.5511151231257827e-17,0.00036700865992678389,True,True
1,59,2,13,0.00028605975644925379,0,670.55861674590471,0,True,True
1,59,3,13,0.030303030303030297,0,90.641052204206247,0,True,True
1,60,0,13,0.0012848438919450848,0,1301.4705315148028,0,True,True
1,60,1,13,0.0020616428621014738,1.0330500284001027e-06,-5.5511151231257827e-17,0.00050108098128455393,True,True
1,60,2,13,0.00028605975644925379,0,670.54849583077748,0,True,True
1,60,3,13,0.030303030303030297,0,89.969687686237137,0,True,True
1,61,0,13,0.0012848438919450848,0,1301.5488083852765,0,True,True
1,61,1,13,0.0020616428621014738,1.308370363665356e-06,0,0.00063462512723067271,True,True
1,61,2,13,0.00028605975644925379,0,670.53837966918888,0,True,True
1,61,3,13,0.030303030303030297,0,89.298358250325862,0,True,True
1,62,0,13,0.0012848438919450848,0,1301.62662957875,0,True,True
1,62,1,13,0.0020616428621014738,1.5825634142932214e-06,0,0.00076762248369248724,True,True
1,62,2,13,0.00028605975644925379,0,670.52826810847478,0,True,True
1,62,3,13,0.030303030303030297,0,88.627064046766733,0,True,True
1,63,0,13,0.0012848438919450848,0,1301.7039803604428,0,True,True
1,63,1,13,0.0020616428621014738,1.8555910598058836e-06,0,0.00090005456032983446,True,True
1,63,2,13,0.00028605975644925379,0,670.51816100060012,0,True,True
1,63,3,13,0.030303030303030297,0,87.955805221224239,0,True,True
1,64,0,13,0.0012848438919450848,0,1301.7808460956271,0,True,True
1,64,1,13,0.0020616428621014738,2.1274154397108948e-06,0,0.00103190299290847,True,True
1,64,2,13,0.00028605975644925379,0,670.50805820201924,0,True,True
1,64,3,13,0.030303030303030297,0,87.284581914873044,0,True,True
2,1,0,15,0.0012848438919450848,0,1320.1721145254819,0,True,True
2,1,1,15,0.0020616428621014738,0,8.4537253624863613,0,True,True
2,1,2,15,0.00028605975644925379,0,734.55495684543098,0,True,True
2,1,3,15,0.030303030303030297,0,217.04883104570652,0,True,True
2,2,0,15,0.0012848438919450848,0,1320.2445590085224,0,True,True
2,2,1,15,0.0020616428621014738,0,8.3554289077602864,0,True,True
2,2,2,15,0.00028605975644925379,0,734.54463790319619,0,True,True
2,2,3,15,0.030303030303030297,0,216.37790360824386,0,True,True
2,3,0,15,0.0012848438919450848,0,1320.3166355367186,0,True,True
2,3,1,15,0.0020616428621014738,0,8.2574676993689717,0,True,True
2,3,2,15,0.00028605975644925379,0,734.53432965157151,0,True,True
2,3,3,15,0.030303030303030297,0,215.70700530032656,0,True,True
2,4,0,15,0.0012848438919450848,0,1320.3883444027113,0,True,True
2,4,1,15,0.0020616428621014738,0,8.1598414857361057,0,True,True
2,4,2,15,0.00028605975644925379,0,734.52403175807785,0,True,True
