feature_set,horizon_days,split,evaluation_role,estimator,subset,reliability_kind,class_level,class_color,bin_index,bin_lower,bin_upper,count,mean_predicted_probability,observed_frequency,class_support,calibration_status
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,1.0,blue,6,0.6000000000000001,0.7000000000000001,24,0.641314205300838,0.4583333333333333,1039,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,1.0,blue,7,0.7000000000000001,0.8,38,0.7568441589396077,0.9473684210526315,1039,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,1.0,blue,8,0.8,0.9,71,0.8581850249149026,0.9014084507042254,1039,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,1.0,blue,9,0.9,1.0,879,0.978277646817312,0.9954493742889647,1039,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,2.0,yellow,0,0.0,0.1,2012,0.0016151997768650412,0.0004970178926441351,182,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,2.0,yellow,1,0.1,0.2,23,0.12036609102853882,0.043478260869565216,182,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,2.0,yellow,2,0.2,0.30000000000000004,37,0.25220757430905427,0.02702702702702703,182,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,2.0,yellow,3,0.30000000000000004,0.4,16,0.3656712639878381,0.1875,182,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,2.0,yellow,4,0.4,0.5,10,0.4639942401782082,0.5,182,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,2.0,yellow,5,0.5,0.6000000000000001,1,0.5028058323175411,1.0,182,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,2.0,yellow,6,0.6000000000000001,0.7000000000000001,20,0.643214097823948,0.8,182,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,2.0,yellow,7,0.7000000000000001,0.8,21,0.7425432286417012,0.42857142857142855,182,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,2.0,yellow,8,0.8,0.9,26,0.8535562249074451,0.9615384615384616,182,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,2.0,yellow,9,0.9,1.0,122,0.952567276313371,0.9836065573770492,182,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,3.0,orange,0,0.0,0.1,2134,0.003730007551118238,0.0028116213683223993,133,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,3.0,orange,1,0.1,0.2,7,0.13708647170783766,0.14285714285714285,133,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,3.0,orange,2,0.2,0.30000000000000004,45,0.26783591893445813,0.6,133,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,3.0,orange,3,0.30000000000000004,0.4,1,0.3193677756793388,1.0,133,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,3.0,orange,4,0.4,0.5,3,0.49191656624887775,1.0,133,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,3.0,orange,5,0.5,0.6000000000000001,2,0.521298663343421,0.5,133,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,3.0,orange,6,0.6000000000000001,0.7000000000000001,6,0.6391687975772857,1.0,133,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,3.0,orange,7,0.7000000000000001,0.8,24,0.7333388714160053,1.0,133,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,3.0,orange,8,0.8,0.9,18,0.8652665331231493,0.9444444444444444,133,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,3.0,orange,9,0.9,1.0,48,0.9665248202672084,0.9791666666666666,133,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,4.0,red,0,0.0,0.1,1896,0.00010803250402874952,0.0,350,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,4.0,red,1,0.1,0.2,18,0.10633986516179611,0.05555555555555555,350,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,4.0,red,2,0.2,0.30000000000000004,0,,,350,empty_bin
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,4.0,red,3,0.30000000000000004,0.4,0,,,350,empty_bin
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,4.0,red,4,0.4,0.5,5,0.478672752004419,0.2,350,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,4.0,red,5,0.5,0.6000000000000001,0,,,350,empty_bin
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,4.0,red,6,0.6000000000000001,0.7000000000000001,0,,,350,empty_bin
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,4.0,red,7,0.7000000000000001,0.8,30,0.7049515877109864,0.5,350,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,4.0,red,8,0.8,0.9,80,0.8949345049804431,0.925,350,ok
full,1,test,historical_holdout_evaluation_only,ngboost,all,one_vs_rest,4.0,red,9,0.9,1.0,259,0.9844865993804692,1.0,350,ok
full,1,test,historical_holdout_evaluation_only,ngboost,transition_only,top_label,,,0,0.0,0.1,0,,,110,empty_bin
