arm,reference,part,station,metric,reference_value,candidate_value,difference,relative_difference
TIME_ONLY,BPLUS_GP_V1,prediction,ATU5,coverage_95,0.9095744680851063,0.5851063829787234,-0.3244680851063829,-0.3567251461988304
TIME_ONLY,BPLUS_GP_V1,prediction,ATU5,width_95_mm,122.13885535276293,104.64105309674987,-17.49780225601306,-0.14326155428160592
TIME_ONLY,BPLUS_GP_V1,prediction,ATU5,interval_score_95_mm,134.28501157373083,220.95973169121285,86.67472011748202,0.645453421061011
TIME_ONLY,BPLUS_GP_V1,prediction,MJ3,mae_mm,20.386362966830657,19.869499557609267,-0.51686340922139,-0.02535338991375486
TIME_ONLY,BPLUS_GP_V1,prediction,MJ3,rmse_mm,36.312989784459624,36.00958056843446,-0.303409216025166,-0.00835539066945713
TIME_ONLY,BPLUS_GP_V1,prediction,MJ3,crps_mm,18.23993708690545,17.14487327490459,-1.0950638120008591,-0.060036600279011455
TIME_ONLY,BPLUS_GP_V1,prediction,MJ3,coverage_80,0.7154255319148937,0.7446808510638298,0.029255319148936088,0.04089219330855007
TIME_ONLY,BPLUS_GP_V1,prediction,MJ3,width_80_mm,20.029029695774078,37.703183181371266,17.674153485597188,0.8824268451369991
TIME_ONLY,BPLUS_GP_V1,prediction,MJ3,interval_score_80_mm,166.5535125029665,145.69149680712422,-20.862015695842274,-0.12525713437277824
TIME_ONLY,BPLUS_GP_V1,prediction,MJ3,coverage_90,0.726063829787234,0.7579787234042553,0.03191489361702127,0.043956043956043946
TIME_ONLY,BPLUS_GP_V1,prediction,MJ3,width_90_mm,25.706981407796587,48.39151241000438,22.684531002207795,0.8824268646075994
TIME_ONLY,BPLUS_GP_V1,prediction,MJ3,interval_score_90_mm,299.4563057784596,227.77016044051243,-71.68614533794715,-0.2393876634241965
TIME_ONLY,BPLUS_GP_V1,prediction,MJ3,coverage_95,0.7313829787234043,0.7712765957446809,0.039893617021276584,0.05454545454545453
TIME_ONLY,BPLUS_GP_V1,prediction,MJ3,width_95_mm,30.63175763684821,57.66204344375999,27.03028580691178,0.8824268632367321
