artifact_status,formal_warning_output,vajont_used,decision_input_split,fold,method,scope,station,block,n,p50_bias_actual_minus_prediction_mean_mm,p50_bias_actual_minus_prediction_median_mm,p50_mae_mm,coverage_80,coverage_abs_error_to_0_8,normal_implied_coverage_80,width_mean_mm,interval_score_mean_mm,pinball_p10_mean_mm,pinball_p50_mean_mm,pinball_p90_mean_mm,pinball_three_quantile_mean_mm,z_median,green_rate,blue_rate,yellow_rate,orange_rate,red_rate
calibration_only_expert_review_not_formal,False,False,calibration,2,raw,station,MJ3,O1,34,0.06622800983,0.05524327501,0.06622800983,1,0.2,0.9117647059,0.2656026991,0.2656026991,0.01677829347,0.03311400491,0.009781976444,0.01989142494,0.5226556007,0,0.8235294118,0.1764705882,0,0
calibration_only_expert_review_not_formal,False,False,calibration,2,raw,station,ATU4,O2,34,0.01725686658,-0.02820954454,0.09161834944,1,0.2,1,0.549418635,0.549418635,0.02503779508,0.04580917472,0.02990406842,0.03358367941,-0.1296217163,0.6176470588,0.3529411765,0.02941176471,0,0
calibration_only_expert_review_not_formal,False,False,calibration,2,raw,station,ATU5,O2,34,0.008430812521,0.02253619773,0.1085944203,1,0.2,1,0.7963343247,0.7963343247,0.03249024063,0.05429721017,0.04714319184,0.04464354755,0.07276572799,0.4411764706,0.5588235294,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,2,raw,station,ATU3,O2,34,0.1220232053,0.03508876992,0.1567189411,1,0.2,1,0.9410419684,0.9410419684,0.05142022603,0.07835947054,0.04268397081,0.05748788913,0.0940657237,0.3235294118,0.5294117647,0.1470588235,0,0
calibration_only_expert_review_not_formal,False,False,calibration,2,raw,station,ATU2,O3,34,0.007335746457,-0.03526760139,0.09760688474,1,0.2,1,0.6400785161,0.6400785161,0.02690227825,0.04880344237,0.03710557337,0.03760376466,-0.139056553,0.6176470588,0.3823529412,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,2,raw,station,ATU1,O3,34,0.02998181766,0.03601596872,0.08778133777,1,0.2,1,0.8694507337,0.8694507337,0.04081832011,0.04389066888,0.04612675325,0.04361191408,0.1069050491,0.3529411765,0.6470588235,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,2,raw,station_macro,all,all,272,0.05006404916,0.02384891733,0.09488304676,0.8933823529,0.2066176471,0.8676470588,0.5486714172,0.5981593059,0.02766650928,0.04744152338,0.03214942131,0.03575248466,0.3612064377,0.3014705882,0.5073529412,0.1139705882,0.03308823529,0.04411764706
calibration_only_expert_review_not_formal,False,False,calibration,2,station_symmetric_conformal,overall_micro,all,all,272,0.05006404916,0.03976771967,0.09488304676,0.9264705882,0.1264705882,0.9044117647,0.5682910288,0.5928089947,0.02864748986,0.04744152338,0.03063340961,0.03557414095,0.2724963308,0.3014705882,0.5514705882,0.1286764706,0.01838235294,0
calibration_only_expert_review_not_formal,False,False,calibration,2,station_symmetric_conformal,station,MJ9,O1,34,0.07681660453,0.07349253901,0.07681660453,0.5882352941,0.2117647059,0.5588235294,0.1618974605,0.2995463379,0.01512014463,0.03840830226,0.01483448916,0.02278764535,1.167604435,0,0.4705882353,0.3823529412,0.1470588235,0
calibration_only_expert_review_not_formal,False,False,calibration,2,station_symmetric_conformal,station,MJ1,O1,34,0.07243933039,0.03189173417,0.07369982637,0.8235294118,0.02352941176,0.6764705882,0.2664891769,0.3249840268,0.01781188485,0.03684991319,0.01468651783,0.02311610529,0.318474301,0.05882352941,0.5882352941,0.3529411765,0,0
calibration_only_expert_review_not_formal,False,False,calibration,2,station_symmetric_conformal,station,MJ3,O1,34,0.06622800983,0.05524327501,0.06622800983,1,0.2,1,0.3216174151,0.3216174151,0.01957902927,0.03311400491,0.01258271224,0.02175858214,0.4330947248,0,0.8823529412,0.1176470588,0,0
calibration_only_expert_review_not_formal,False,False,calibration,2,station_symmetric_conformal,station,ATU4,O2,34,0.01725686658,-0.02820954454,0.09161834944,1,0.2,1,0.549418635,0.549418635,0.02503779508,0.04580917472,0.02990406842,0.03358367941,-0.1296217163,0.6176470588,0.3529411765,0.02941176471,0,0
calibration_only_expert_review_not_formal,False,False,calibration,2,station_symmetric_conformal,station,ATU5,O2,34,0.008430812521,0.02253619773,0.1085944203,1,0.2,1,0.7963343247,0.7963343247,0.03249024063,0.05429721017,0.04714319184,0.04464354755,0.07276572799,0.4411764706,0.5588235294,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,2,station_symmetric_conformal,station,ATU3,O2,34,0.1220232053,0.03508876992,0.1567189411,1,0.2,1,0.9410419684,0.9410419684,0.05142022603,0.07835947054,0.04268397081,0.05748788913,0.0940657237,0.3235294118,0.5294117647,0.1470588235,0,0
calibration_only_expert_review_not_formal,False,False,calibration,2,station_symmetric_conformal,station,ATU2,O3,34,0.007335746457,-0.03526760139,0.09760688474,1,0.2,1,0.6400785161,0.6400785161,0.02690227825,0.04880344237,0.03710557337,0.03760376466,-0.139056553,0.6176470588,0.3823529412,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,2,station_symmetric_conformal,station,ATU1,O3,34,0.02998181766,0.03601596872,0.08778133777,1,0.2,1,0.8694507337,0.8694507337,0.04081832011,0.04389066888,0.04612675325,0.04361191408,0.1069050491,0.3529411765,0.6470588235,0,0,0
calibration_only_expert_review_not_formal,False,False,calibration,2,station_symmetric_conformal,station_macro,all,all,272,0.05006404916,0.02384891733,0.09488304676,0.9264705882,0.1794117647,0.9044117647,0.5682910288,0.5928089947,0.02864748986,0.04744152338,0.03063340961,0.03557414095,0.2405289616,0.3014705882,0.5514705882,0.1286764706,0.01838235294,0
calibration_only_expert_review_not_formal,False,False,calibration,2,global_robust_location_scale,overall_micro,all,all,272,0.02187579193,0.02176106001,0.09175858392,0.9080882353,0.1080882353,0.8860294118,0.5547198357,0.5965671353,0.02509748296,0.04587929196,0.03455923057,0.0351786685,0.157105041,0.3970588235,0.4595588235,0.07720588235,0.02573529412,0.04044117647
