phase,scenario,model,probability_model,horizon,point,n,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
development,past_only_main,B_RAW,B_RAW_G,1,MJ1,376,32.9995956159186,40.248277644837,21.5720655451882,0.566489361702128,72.6474326744812,96.8771171399315,0.954787234042553,93.2419703865397,94.3036566869463,1,111.104660506402,111.104660506402
development,past_only_main,B_RAW,B_RAW_G,2,ATU1,375,36.0701916571702,40.4161095713737,22.8867156980444,0.664,75.4530140559118,94.0588940683677,0.784,96.8428951054703,116.422194135982,0.861333333333333,115.395426957898,139.599801795714
development,past_only_main,B_RAW,B_RAW_G,2,ATU5,375,43.7074180989608,48.6363853269193,27.6039014381053,0.685333333333333,95.1345984526352,118.266691804383,0.826666666666667,122.103935198964,146.520618187296,0.909333333333333,145.495812781913,176.819874317755
development,past_only_main,B_RAW,B_RAW_G,2,MJ3,375,20.5663717573902,36.4210142641635,17.86740521248,0.504,70.1236484577039,123.14375150269,0.648,90.0027284128117,143.782109598711,0.744,107.244865627582,168.769127838765
development,past_only_main,B_RAW,B_RAW_G,2,MJ1,375,33.0818896096384,40.2982827219929,21.6547923635221,0.56,72.491950251233,98.3013551209155,0.954666666666667,93.0424108567612,94.1266680437567,1,110.866870660103,110.866870660103
development,past_only_main,B_RAW,B_RAW_G,3,ATU1,374,36.1594901018107,40.4884749600461,22.9798171978432,0.665775401069519,75.3259665197757,94.6219979426148,0.788770053475936,96.6798313581915,117.676562966951,0.863636363636364,115.201124518694,142.478070315134
development,past_only_main,B_RAW,B_RAW_G,3,ATU5,374,43.8661539420075,48.7624703072993,27.7331353902443,0.692513368983957,95.2080067640736,118.94602183615,0.831550802139037,122.198153746672,148.007507320041,0.909090909090909,145.608081106071,180.186854902323
development,past_only_main,B_RAW,B_RAW_G,3,MJ3,374,20.6066614978628,36.4644294058122,18.0296617425325,0.508021390374332,70.3756058204985,125.862014576056,0.644385026737968,90.3261121869587,148.348267990094,0.737967914438503,107.630201161472,176.432306248526
development,past_only_main,B_RAW,B_RAW_G,3,MJ1,374,33.1612693641864,40.3463420518852,21.7360423968871,0.556149732620321,72.3344722220771,99.7466054890418,0.954545454545455,92.8402899945295,93.9235487881889,1,110.626028797942,110.626028797942
development,past_only_main,B_RAW,B_RAW_G,4,ATU1,373,36.2454772669855,40.5604877275072,23.0702908817654,0.664879356568365,75.2012303942403,95.1555867857601,0.785522788203753,96.5197342743012,118.945136275553,0.863270777479893,115.010357076951,145.409637813414
development,past_only_main,B_RAW,B_RAW_G,4,ATU5,373,44.0402618347891,48.9151919264911,27.8682462414005,0.697050938337802,95.3745846168775,119.64703094801,0.836461126005362,122.411954106111,149.593980116125,0.914209115281501,145.862839947537,184.001326459179
development,past_only_main,B_RAW,B_RAW_G,4,MJ3,373,20.6421990164367,36.5058132405536,18.1886857812118,0.506702412868633,70.6188047092266,128.577830411078,0.64343163538874,90.6382545813421,152.964246669147,0.729222520107239,108.002141765192,184.30441107793
development,past_only_main,B_RAW,B_RAW_G,4,MJ1,373,33.2376922023541,40.3924110381526,21.8157182726395,0.557640750670241,72.1686775979362,101.192588798997,0.957104557640751,92.6274948981954,93.6970869684769,1,110.372467801347,110.372467801347
development,past_only_main,B_RAW,B_RAW_G,5,ATU1,372,36.3285743455215,40.6325955126784,23.1583428470305,0.663978494623656,75.0789000666279,95.6649399818436,0.787634408602151,96.3627249986159,120.222127190291,0.865591397849462,114.823268985622,148.394473103364
development,past_only_main,B_RAW,B_RAW_G,5,ATU5,372,44.2290779510574,49.0981330970303,28.0101663721824,0.704301075268817,95.6350133701414,120.397842869567,0.841397849462366,122.746210792214,151.413103950064,0.916666666666667,146.261131355124,188.636633094894
development,past_only_main,B_RAW,B_RAW_G,5,MJ3,372,20.6730458730545,36.5450287209303,18.3439873861929,0.513440860215054,70.848057320016,131.279314646065,0.645161290322581,90.9324971217777,157.614827505795,0.725806451612903,108.352753377389,192.363821397146
