phase,source_family,model,horizon,n_per_point,mae,rmse,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95,pooled_rmse,comparison_status
development,c16_fast_feedback_run3,DRIFT3,1,376,0.00489381890332,0.00642996510468,0.00752882978135,0.977393617021,0.0732668661587,0.0740976131665,0.991356382979,0.0940370046565,0.0945953265071,0.995345744681,0.11205200227,0.112330298233,0.00654819209496,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,DRIFT3,2,375,0.0122224404857,0.0160567234827,0.0185738507681,0.950666666667,0.176750908492,0.181750730849,0.97,0.226857335059,0.232081099502,0.98,0.270317187536,0.275495706235,0.0163527373359,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,DRIFT3,3,374,0.0219745111525,0.0288561340249,0.0336435248453,0.951203208556,0.320393581262,0.329797165482,0.969919786096,0.411220709614,0.421455632129,0.980614973262,0.489999698049,0.500725749573,0.0293892314256,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,DRIFT3,4,373,0.0341189655559,0.0447968225926,0.0526715961327,0.951072386059,0.502412587711,0.517415855997,0.968498659517,0.6448395752,0.661645844307,0.977882037534,0.768373746144,0.786628822737,0.0456256901524,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,DRIFT3,5,372,0.0486280432568,0.0638406204539,0.0756731744201,0.950940860215,0.722295111271,0.744680800147,0.967741935484,0.927055738876,0.953049225575,0.977150537634,1.10465504656,1.13460526245,0.0650230028098,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,DRIFT3,6,371,0.0654784192882,0.0859426165272,0.102680983649,0.949460916442,0.981489659394,1.01211397956,0.966981132075,1.25972833983,1.29551171507,0.97641509434,1.50105890027,1.54249409555,0.0875350046745,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,DRIFT3,7,370,0.08460540563,0.111051181207,0.133714881297,0.949324324324,1.27875334561,1.32010761972,0.966891891892,1.64126215055,1.6908921826,0.975675675676,1.95568447645,2.01549624438,0.113108520938,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,DRIFT30,1,376,0.0325870215597,0.0430021119228,0.048047183022,0.94414893617,0.452817173877,0.46546236947,0.970744680851,0.581184550682,0.592365858193,0.98204787234,0.692524106123,0.702082137095,0.0435402830274,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,DRIFT30,2,375,0.0668940596748,0.0883478382073,0.0994191438961,0.944666666667,0.938058384145,0.964962416691,0.97,1.20398490153,1.22961439845,0.981333333333,1.43463649669,1.45890155024,0.0894425768815,historical_native_scale_not_main_ranking
development,c16_fast_feedback_run3,DRIFT30,3,374,0.102879774364,0.135954716384,0.154092642279,0.945187165775,1.45565896385,1.49872838302,0.969251336898,1.86831805341,1.91155355141,0.979946524064,2.22623827212,2.26991832501,0.137621382014,historical_native_scale_not_main_ranking
