origin,seed,step,bin,mae,rmse,bias,mse,error_variance
612,1,0,h181_293,50.09794989872926,50.297077216352164,-50.09794989872926,3220.7037885656136,10.30807191230259
612,1,0,all,35.229315708374024,39.36744459201239,-35.21571629643962,2009.732462438126,364.4220115593618
612,1,50,h001_030,19.96404396491941,21.210277049484382,-19.96404396491941,454.86519961593285,51.84344089622397
612,1,50,h031_090,32.6902010193715,34.66658829917287,-32.688778292942615,1305.4061626194143,131.61607007137604
612,1,50,h091_180,52.0379395435205,53.41299966954938,-52.0379395435205,3245.5137085571414,121.10049683837113
612,1,50,h181_293,65.49408666924379,66.45276074515795,-65.49408666924379,5012.7778788926125,101.04900981166003
612,1,50,all,49.98150079403162,53.762291659385625,-49.9812094507356,3244.063002834986,432.5218421682563
612,1,100,h001_030,18.254041376629033,19.74858221253261,-18.254041376629033,419.1553367065569,61.281660103735916
612,1,100,h031_090,40.405702112162224,42.79096643997807,-40.405702112162224,1961.2161858796585,195.30896235277743
612,1,100,h091_180,62.55483899304028,64.07032472320964,-62.55483899304028,4435.290872138336,171.51062806596897
612,1,100,h181_293,71.080063462006,72.68719011851545,-71.080063462006,5780.920562235649,192.1546162990241
612,1,100,all,56.771146923579884,61.15818387312633,-56.771146923579884,4036.4089873005287,544.7201829552386
612,1,200,h001_030,11.725992810221278,13.560078101667074,-11.310084011746213,215.02030782749722,60.741325212522895
612,1,200,h031_090,36.970901257126464,39.853873720563485,-36.970901257126464,1742.413097473801,213.9095754886879
612,1,200,h091_180,60.19604227437912,61.432314002717376,-60.19604227437912,4105.831012645896,134.0522751363092
612,1,200,h181_293,69.22770793508715,71.1038886679216,-69.22770793508715,5531.666628978954,218.1868152538808
612,1,200,all,53.96043911635903,58.99796004138048,-53.917854597743826,3773.373772341315,599.6921201455325
612,1,400,h001_030,8.480531244378973,9.756311568610307,-6.596139410339391,113.28511281225194,52.532380991185015
612,1,400,h031_090,34.11120081914705,37.86242678245446,-34.09988710861589,1580.2654750770062,258.4571114210002
612,1,400,h091_180,58.49260149276812,60.14620411672019,-58.49260149276812,3956.2092774148205,176.05613033390156
612,1,400,h181_293,69.73042332809035,72.25782025182738,-69.73042332809035,5700.179651853021,301.011108592232
612,1,400,all,52.71317391434653,58.739741560048586,-52.51791597013814,3748.7836775280302,714.6636322340028
612,2,0,h001_030,2.8324733101241306,3.36472708288398,-2.817731378748036,25.876806380811637,7.109752730084691
612,2,0,h031_090,17.45869168947782,19.02793037552938,-17.399652193552846,531.1823317857874,72.98927502240231
612,2,0,h091_180,39.20694959249767,39.43221502561448,-39.20694959249767,2136.2759920876115,18.50504314934686
612,2,0,h181_293,50.09794989872926,50.297077216352164,-50.09794989872926,3220.7037885656136,10.30807191230259
612,2,0,all,35.229315708374024,39.36744459201239,-35.21571629643962,2009.732462438126,364.4220115593618
612,2,50,h001_030,2.4948758760890324,2.9727924002272523,-0.8813801323257716,16.856752569935356,5.6524384915120685
612,2,50,h031_090,14.402509794144457,16.07335673825841,-12.841859310979917,369.93698906595165,58.3500227388202
612,2,50,h091_180,30.80751783430322,31.35079047392492,-27.827555830108018,1288.0854788896536,28.3027139925241
612,2,50,h181_293,46.36859675099087,46.523948490833135,-46.36859675099087,2820.81436951621,6.104393615951231
612,2,50,all,30.55059693474606,34.61306881994601,-29.150458772014524,1561.0294838786883,349.63317461209016
612,2,100,h001_030,20.183395341842946,21.199972379965203,-20.183395341842946,468.54014330994335,43.39449738844429
612,2,100,h031_090,37.68318173052748,39.63218202608648,-37.68318173052748,1729.2339695496185,162.69445940960037
612,2,100,h091_180,59.817250424503214,60.74295499661935,-59.79630367369024,4323.432630473086,110.000273267016
612,2,100,h181_293,69.40058977600441,69.86260619810878,-69.40058977600441,5661.430303380929,56.623131624738235
612,2,100,all,54.922566371947866,58.26014843945391,-54.916132216408045,3913.5181006720077,442.19185659113003
612,2,200,h001_030,21.674963214512864,25.35327370016594,-21.600182750431216,667.2666990158626,184.05082912973353
612,2,200,h031_090,57.467378200949014,61.02760046527124,-57.46565287676033,3948.8422759623463,447.03707348434517
612,2,200,h091_180,92.9463571684762,94.20946611273476,-92.9463571684762,9812.532637276403,242.63800521662938
612,2,200,h181_293,90.95440510033166,92.49650726815925,-90.95440510033166,9509.179998167576,276.0577088968236
612,2,200,all,77.61539764502615,82.85992039720706,-77.60738763351156,7558.408923808974,933.592179754532
612,2,400,h001_030,15.585194799870607,19.34921637776042,-15.137801628766963,391.18441994114784,151.65848401580462
612,2,400,h031_090,45.46405326738409,49.48948569499214,-45.46006561315727,2636.044699374393,401.7540827463658
612,2,400,h091_180,83.10233445202033,84.40262897329345,-83.10233445202033,7967.884072902072,224.57896585096947
612,2,400,h181_293,83.99193246425368,85.72298712895855,-83.99193246425368,8252.281099289128,283.06194840983545
612,2,400,all,68.82490617468143,74.62636810562796,-68.77828141568239,6209.950666694731,931.0416211519413
612,ensemble,0,h001_030,2.8324733101241306,3.36472708288398,-2.817731378748036,25.876806380811637,7.109752730084691
612,ensemble,0,h031_090,17.45869168947782,19.02793037552938,-17.399652193552846,531.1823317857874,72.98927502240231
612,ensemble,0,h091_180,39.20694959249767,39.43221502561448,-39.20694959249767,2136.2759920876115,18.50504314934686
612,ensemble,0,h181_293,50.09794989872926,50.297077216352164,-50.09794989872926,3220.7037885656136,10.30807191230259
612,ensemble,0,all,35.229315708374024,39.36744459201239,-35.21571629643962,2009.732462438126,364.4220115593618
612,ensemble,50,h001_030,10.853969654408308,11.384833141541673,-10.853969654408308,134.93429818909598,12.948405118657288
612,ensemble,50,h031_090,23.257937235446988,24.488122146011733,-23.257937235446988,732.0934449476542,65.19748898106155
612,ensemble,50,h091_180,41.733853557992404,42.26539045532096,-41.6824139797673,2245.873196464948,34.884977913591946
612,ensemble,50,h181_293,56.9748033609547,57.25902453384964,-56.9748033609547,3934.337931641174,22.231395527771127
612,ensemble,50,all,40.66653557599408,44.30246502602941,-40.65073502295566,2370.9297255966894,365.51157626585524
612,ensemble,100,h001_030,18.658029655113555,19.476790440430403,-18.658029655113555,384.64755976756004,32.402034725630024
612,ensemble,100,h031_090,37.95980992649211,39.099538572138115,-37.95980992649211,1641.6233138515488,94.86230567412761
612,ensemble,100,h091_180,60.96039439999687,61.499449814441064,-60.96039439999687,4234.974245165515,60.25567930433135
612,ensemble,100,h181_293,69.95491607955773,70.35435080751483,-69.95491607955773,5595.768985480685,44.94652015747471
612,ensemble,100,all,55.38795391888286,58.62039723134852,-55.38795391888286,3834.4928431683734,425.62287701746345
612,ensemble,200,h001_030,16.855077859529672,18.683458370494744,-16.855077859529672,356.45262764461205,66.60530531012412
612,ensemble,200,h031_090,45.192888830152164,46.92118558092811,-45.192888830152164,2313.8817080144113,166.10641823088017
612,ensemble,200,h091_180,74.30681745566125,74.82307141977304,-74.30681745566125,6078.254203267061,74.30535171612532
612,ensemble,200,h181_293,78.36699259619161,78.93506200176469,-78.36699259619161,6895.674173969614,78.10084494480647
612,ensemble,200,all,64.02835972687436,68.00282138445672,-64.02835972687436,5036.793656187048,586.6004057002765
612,ensemble,400,h001_030,10.605493046513178,12.658553106633613,-10.605493046513178,168.75266237614494,49.590278411117026
612,ensemble,400,h031_090,37.40606398854806,39.64017063431942,-37.40606398854806,1698.6650607026631,177.8005492470523
612,ensemble,400,h091_180,69.1568121524765,69.737766144506,-69.1568121524765,5338.738459861865,78.5282726217061
612,ensemble,400,h181_293,74.83445727961319,75.5361533918124,-74.83445727961319,6368.586162272715,90.71539808900403
612,ensemble,400,all,58.84960886357494,63.59182636503533,-58.84960886357494,4461.157615146174,645.5450217596322
792,0,0,h001_030,1.395168639605691,1.6038565102489213,-1.395168639605691,3.35809652758193,0.8349969651663877
792,0,0,h031_090,6.308631363304551,6.573786677854293,-6.308631363304551,48.16983571455968,3.36050385304431
792,0,0,h091_180,11.600247256500616,11.792170012954996,-11.600247256500616,144.7732252199892,4.268100952966019
792,0,0,h181_293,23.31354124878473,23.84830921446529,-23.31354124878473,583.7455505863962,27.11083712808302
792,0,0,all,13.98916503475827,16.546947631287747,-13.98916503475827,279.8080905282008,79.35137568545285
792,0,50,h001_030,14.829890858135366,15.776761353683598,14.829890858135366,286.0332490842486,33.51610884615101
792,0,50,h031_090,18.333842512384823,18.750904622150962,18.326575909078194,422.1868961946939,17.78600985641982
792,0,50,h091_180,25.088794360173708,25.354582390808616,25.088794360173708,791.1136040943353,13.428656393517988
792,0,50,h181_293,19.59809757546535,20.66226598649829,17.211977621296544,580.2656094774,41.92002038734452
792,0,50,all,20.537555614096817,21.550950784729714,19.61582335805766,582.5339572820665,54.0322823556716
792,0,100,h001_030,6.903722014401284,8.646098711798695,6.772476402805465,92.22101894701797,34.798174042405336
792,0,100,h031_090,18.876729928151533,19.764355346789635,18.8623068109285,508.9812954396897,40.03369443425853
792,0,100,h091_180,35.96360854563574,36.32768677642874,35.96360854563574,1701.528643775026,32.772278630322624
792,0,100,h181_293,39.8200963721455,40.367770924594495,39.436519319263496,2355.1702634163184,40.40730092612626
792,0,100,all,30.976488448057303,33.64186391423885,30.812164344450057,1544.6325119474,230.9607436759042
792,0,200,h001_030,3.9387956047389054,4.853125866482533,2.275306554654312,30.61297872053187,16.299410518093584
792,0,200,h031_090,12.196313497482537,13.072464332109448,10.23604023041617,221.06368631710998,26.2301458281576
792,0,200,h091_180,28.233718280061378,28.91638486989698,27.965272195593215,1184.7383292744728,48.38110796834715
792,0,200,h181_293,44.75867165972411,45.05738717076636,43.97709747766864,2988.561178868788,24.77266863813813
792,0,200,all,28.83517822780023,32.99435427676899,27.87954990800186,1564.9012743601302,372.98618653921824
792,0,400,h001_030,6.105627193739987,7.084721699159956,4.647757838189671,75.19244191816128,24.938818462032344
792,0,400,h031_090,14.112016142306022,14.608919171473355,11.144942083264972,316.5475409826673,15.172088215918953
792,0,400,h091_180,27.14902641837917,27.763345756965755,25.12557372923181,1115.8447350595213,38.91310139540969
792,0,400,h181_293,44.06358316638325,44.379977879032516,42.505352581300485,2877.338215868666,30.01778377241044
792,0,400,all,28.84807870240954,32.57177385063755,26.868722653445076,1524.9620145563856,315.9547940118961
792,1,0,h001_030,1.395168639605691,1.6038565102489213,-1.395168639605691,3.35809652758193,0.8349969651663877
792,1,0,h031_090,6.308631363304551,6.573786677854293,-6.308631363304551,48.16983571455968,3.36050385304431
792,1,0,h091_180,11.600247256500616,11.792170012954996,-11.600247256500616,144.7732252199892,4.268100952966019
792,1,0,h181_293,23.31354124878473,23.84830921446529,-23.31354124878473,583.7455505863962,27.11083712808302
792,1,0,all,13.98916503475827,16.546947631287747,-13.98916503475827,279.8080905282008,79.35137568545285
792,1,50,h001_030,3.1581001911101847,3.9501503710155754,-2.202655634292094,21.18300019864977,9.271734096004467
792,1,50,h031_090,5.509444955622731,6.329620937659135,-3.904400023193884,45.737696156496284,12.751001677101756
792,1,50,h091_180,6.123267248819611,6.8530572095491555,-3.3894583361791923,49.088251561855046,11.183348469110408
792,1,50,h181_293,9.049714247195368,9.631484654567636,-8.9639095051305,113.72902425332373,10.12600144763536
792,1,50,all,6.822598858011982,7.931548527052993,-5.523265169816621,70.47465582437476,23.448131456842788
792,1,100,h001_030,3.195467236657582,3.8849595769386154,-2.238978067598869,17.325726472455756,10.64344836906902
792,1,100,h031_090,6.397807771397655,7.100730133904436,-6.031111606548116,62.34238806791396,12.496725755157426
792,1,100,h091_180,10.506497923205542,11.445691546207474,-10.204280870698064,169.9317895200634,25.78475990503886
792,1,100,h181_293,19.207148211444718,20.159973463445773,-19.207148211444718,447.24869640895383,39.81998744365481
792,1,100,all,12.272099127526753,14.582162781814615,-12.006242541559494,239.22620760841636,68.93877943555621
792,1,200,h001_030,2.4073929259933986,2.91643840560655,0.4802986444878703,9.399661819228545,8.308258432539324
