origin,seed,step,bin,mae,rmse,bias,normalized_mse,objective_contribution
1168,0,0,h181_293,41.42488028458806,48.69082572505515,-41.42488028458806,0.11731875932759189,0.03097364902810303
1168,0,0,all,24.655160643797423,34.88974737854785,-24.634042302971327,0.05804476119685639,0.04772788265187413
1168,0,50,h001_030,6.448946160706018,10.024974649622564,2.75885562530558,0.004193224066010079,0.0004610193121277376
1168,0,50,h031_090,7.235056785922829,13.346338452351466,0.1821317408618111,0.007002515442935723,0.001391672254728311
1168,0,50,h091_180,10.29096377683128,17.81678124720289,-2.200363458868255,0.014453428954831798,0.003714079196580653
1168,0,50,h181_293,15.458699552311012,23.647450618559596,-5.622983968773056,0.03125269405024387,0.008231596852931443
1168,0,50,all,10.781374694009504,18.559438619844105,-2.1386424059130595,0.016909863059212975,0.013798367616368145
1168,0,100,h001_030,5.0711556236009665,8.025132933740656,-2.7833226118727015,0.002646921071500274,0.00030871064567909934
1168,0,100,h031_090,6.799385984206319,10.686217460202291,-2.7191563543466124,0.004636507342226731,0.0009731795947332275
1168,0,100,h091_180,9.205124184714712,13.098282773457159,-2.7714509706520736,0.007935238061099643,0.0020743040626359428
1168,0,100,h181_293,11.198186222756824,15.356726235117868,-3.8409761712726627,0.012755767535217968,0.0033582784049381925
1168,0,100,all,8.774045004321565,13.01714610541,-3.110217078325153,0.00807406385024036,0.006714472707986463
1168,0,200,h001_030,3.4586355747886626,5.756571759235349,0.056754410454918705,0.0013386961839005765,0.00015188796857030487
1168,0,200,h031_090,5.33439944347214,8.70238309452518,0.8665045927278578,0.0030479917347575013,0.0006142425955335068
1168,0,200,h091_180,6.4422505067245375,9.362275544635413,-0.3536064893079329,0.003992889242911847,0.001053203461901082
1168,0,200,h181_293,6.820784142885513,9.047925138404585,-2.080322509051528,0.0038258603847457057,0.0010188497140236686
1168,0,200,all,5.932266880785556,8.828873420090693,-0.5800939343262326,0.0033841050171660786,0.002838183740028562
1168,0,400,h001_030,2.5986776448735056,4.020205050333732,1.3369705083099572,0.0006539706467804428,7.548473897334295e-05
1168,0,400,h031_090,4.329616238724889,6.4885774540921615,1.5404607853777093,0.0016671566586644493,0.00034483270291480546
1168,0,400,h091_180,5.061901076306093,7.2079155029966095,1.7447531599595156,0.0022213829003711787,0.0005805822393448365
1168,0,400,h181_293,5.373628160322724,6.769768762329727,1.205600025477855,0.002053738330157506,0.0005450211334880877
1168,0,400,all,4.683423998248363,6.60701432103319,1.4695126030239916,0.0018402028251879765,0.0015459208147210726
1168,1,0,h001_030,4.050365978342606,10.145641804450085,-3.933057420079009,0.0040805545532157355,0.0004347332781066035
1168,1,0,h031_090,12.274444616015348,20.23371043921515,-12.247060521798746,0.016730133063526692,0.0034369216333498083
1168,1,0,h091_180,24.67427737782851,32.30390136328354,-24.67427620574503,0.04873535165306589,0.012882578712314692
1168,1,0,h181_293,41.42488028458806,48.69082572505515,-41.42488028458806,0.11731875932759189,0.03097364902810303
1168,1,0,all,24.655160643797423,34.88974737854785,-24.634042302971327,0.05804476119685639,0.04772788265187413
1168,1,50,h001_030,3.9167383362274446,7.822094232022852,-1.141630029062526,0.002489174578931265,0.00028806047005942127
1168,1,50,h031_090,6.463517358604583,12.87900718350277,-0.5768676941410414,0.00677050616121012,0.0013553356921236946
1168,1,50,h091_180,10.987452783239931,18.235651620694533,-1.7090345457424854,0.01609820897981661,0.004135933769914922
1168,1,50,h181_293,16.486832891808174,24.272138036515685,-3.9109787518706955,0.034106820191221784,0.008978827730372486
1168,1,50,all,10.83729846521235,18.750992532024426,-2.0918292722780523,0.018089922558980096,0.014758157662470524
1168,1,100,h001_030,4.307433407088026,7.528212018008181,0.5426095620647139,0.0022640109134298963,0.0002642108639487069
1168,1,100,h031_090,6.137001272391679,10.909608212347727,-1.6468301037691675,0.004789237877629181,0.0010057925441631951
