origin,method,seed,point,total_sse,tail_sse,tail_fraction
612,G_CACHED,2,MJ3,2295964.974703065,1588905.3981461562,0.6920425248872308
612,G_CACHED,2,MJ1,248120.13826285975,183089.1092070303,0.7379050748918443
792,TiDE_KIN,ensemble,ATU1,322013.05082731874,173329.1711206085,0.5382675350433458
792,TiDE_KIN,ensemble,ATU5,536877.2880306486,292834.74175639416,0.545440733450578
792,TiDE_KIN,ensemble,MJ3,16762.14031743538,14950.18770890164,0.8919020737077943
792,TiDE_KIN,ensemble,MJ1,19259.19111208769,6114.399087601971,0.3174795375369829
792,TiDE_KIN,0,ATU1,541903.7210280348,379179.161526813,0.6997168441794046
792,TiDE_KIN,0,ATU5,1101850.830805819,807946.2612149359,0.7332628325233995
792,TiDE_KIN,0,MJ3,5258.271265132111,1425.5243647195366,0.2711013359413897
792,TiDE_KIN,0,MJ1,138242.65796109807,112005.92646616862,0.8102124779580515
792,TiDE_KIN,1,ATU1,197593.70617817412,181602.48295782765,0.9190701792600273
792,TiDE_KIN,1,ATU5,344637.9068434141,314866.12756676285,0.9136143219144548
792,TiDE_KIN,1,MJ3,85854.47419329517,80099.84154426114,0.9329722451496484
792,TiDE_KIN,1,MJ1,34470.85453457934,28942.675557706883,0.8396274460986489
792,TiDE_KIN,2,ATU1,1810046.2949138484,1080046.0149570382,0.5966952436475911
792,TiDE_KIN,2,ATU5,2754888.917686983,1561107.2106961776,0.5666679337498988
792,TiDE_KIN,2,MJ3,5053.442264326707,4273.416845883501,0.8456447352828058
792,TiDE_KIN,2,MJ1,22717.453035591243,3270.4706629018124,0.143962910709136
792,BPLUS_CONTINUOUS,ensemble,ATU1,316720.0107486073,207242.45374500324,0.654339627152575
792,BPLUS_CONTINUOUS,ensemble,ATU5,536103.5706573722,351121.1359413787,0.6549501908947046
792,BPLUS_CONTINUOUS,ensemble,MJ3,24350.693589396353,21904.44212964311,0.8995407892275201
792,BPLUS_CONTINUOUS,ensemble,MJ1,175643.45433258466,110786.64748525705,0.6307473734573686
792,BPLUS_CONTINUOUS,0,ATU1,316720.0107486073,207242.45374500324,0.654339627152575
792,BPLUS_CONTINUOUS,0,ATU5,536103.5706573722,351121.1359413787,0.6549501908947046
792,BPLUS_CONTINUOUS,0,MJ3,24350.693589396353,21904.44212964311,0.8995407892275201
792,BPLUS_CONTINUOUS,0,MJ1,175643.45433258466,110786.64748525705,0.6307473734573686
792,BPLUS_CONTINUOUS,1,ATU1,316720.0107486073,207242.45374500324,0.654339627152575
792,BPLUS_CONTINUOUS,1,ATU5,536103.5706573722,351121.1359413787,0.6549501908947046
792,BPLUS_CONTINUOUS,1,MJ3,24350.693589396353,21904.44212964311,0.8995407892275201
792,BPLUS_CONTINUOUS,1,MJ1,175643.45433258466,110786.64748525705,0.6307473734573686
792,BPLUS_CONTINUOUS,2,ATU1,316720.0107486073,207242.45374500324,0.654339627152575
792,BPLUS_CONTINUOUS,2,ATU5,536103.5706573722,351121.1359413787,0.6549501908947046
792,BPLUS_CONTINUOUS,2,MJ3,24350.693589396353,21904.44212964311,0.8995407892275201
792,BPLUS_CONTINUOUS,2,MJ1,175643.45433258466,110786.64748525705,0.6307473734573686
792,DRIFT1,ensemble,ATU1,13802.652927702238,9753.338745898413,0.7066278343001178
792,DRIFT1,ensemble,ATU5,12429.61942781374,9503.770120345325,0.7646066861129114
792,DRIFT1,ensemble,MJ3,2652.5435058283283,1835.2457208682279,0.6918814778478526
792,DRIFT1,ensemble,MJ1,13996.311530707613,4535.000032785782,0.324013939160763
792,DRIFT1,0,ATU1,13802.652927702238,9753.338745898413,0.7066278343001178
792,DRIFT1,0,ATU5,12429.61942781374,9503.770120345325,0.7646066861129114
792,DRIFT1,0,MJ3,2652.5435058283283,1835.2457208682279,0.6918814778478526
792,DRIFT1,0,MJ1,13996.311530707613,4535.000032785782,0.324013939160763
792,DRIFT1,1,ATU1,13802.652927702238,9753.338745898413,0.7066278343001178
792,DRIFT1,1,ATU5,12429.61942781374,9503.770120345325,0.7646066861129114
792,DRIFT1,1,MJ3,2652.5435058283283,1835.2457208682279,0.6918814778478526
792,DRIFT1,1,MJ1,13996.311530707613,4535.000032785782,0.324013939160763
792,DRIFT1,2,ATU1,13802.652927702238,9753.338745898413,0.7066278343001178
792,DRIFT1,2,ATU5,12429.61942781374,9503.770120345325,0.7646066861129114
