origin,method,seed,bin,mae,rmse,bias,crps,coverage80,width80,interval_score80,coverage90,width90,interval_score90,coverage95,width95,interval_score95
612,TiDE_PHYS,1,h091_180,30.003238868760931,30.65623269554218,-28.748687301642388,,,,,,,,,,
612,TiDE_PHYS,1,h181_293,48.211938346868003,48.465949406711175,-48.211938346868003,,,,,,,,,,
612,TiDE_PHYS,1,all,30.530449862728105,35.337224642541642,-29.844056348942054,,,,,,,,,,
612,TiDE_PHYS,2,h001_030,3.2192892589879394,4.0841699294523703,-1.2589825180354561,,,,,,,,,,
612,TiDE_PHYS,2,h031_090,11.234321503118217,12.135782562052814,-6.5863716417697908,,,,,,,,,,
612,TiDE_PHYS,2,h091_180,30.450007687399896,31.251068498924301,-27.604561845412562,,,,,,,,,,
612,TiDE_PHYS,2,h181_293,45.04428915446772,45.416978690488918,-45.04428915446772,,,,,,,,,,
612,TiDE_PHYS,2,all,29.355438000947352,33.838734433429892,-27.328897660714105,,,,,,,,,,
612,G_CACHED,ensemble,h001_030,2.7686202345931581,3.1448336861482358,0.27473394096544212,,,,,,,,,,
612,G_CACHED,ensemble,h031_090,12.101651763264998,13.709448450511417,3.9618441087598475,,,,,,,,,,
612,G_CACHED,ensemble,h091_180,29.511576364113321,30.380602126260246,21.960824870636845,,,,,,,,,,
612,G_CACHED,ensemble,h181_293,44.53138003711878,46.174448475544722,43.05460727922874,,,,,,,,,,
612,G_CACHED,ensemble,all,29.000837985659786,33.979991368731319,24.189752647319857,,,,,,,,,,
612,G_CACHED,0,h001_030,2.7751819401452797,3.140426558523719,0.61926483218939499,,,,,,,,,,
612,G_CACHED,0,h031_090,11.887698738919578,13.286075568937743,4.6773294544185875,,,,,,,,,,
612,G_CACHED,0,h091_180,28.822632002056157,29.770452939842734,23.43806799027714,,,,,,,,,,
612,G_CACHED,0,h181_293,45.760672090211244,47.289773867323241,45.049000042321623,,,,,,,,,,
612,G_CACHED,0,all,29.220171361496437,34.411306048670909,25.594473843474681,,,,,,,,,,
612,G_CACHED,1,h001_030,2.4798422851817854,3.0084435756702463,-0.1336570962178964,,,,,,,,,,
612,G_CACHED,1,h031_090,11.869675444535996,13.541282104292684,1.9002034295670911,,,,,,,,,,
612,G_CACHED,1,h091_180,30.213322097717448,31.092756618252874,17.001154424458075,,,,,,,,,,
612,G_CACHED,1,h181_293,42.742014262306299,44.507641484700329,39.598183016168456,,,,,,,,,,
612,G_CACHED,1,all,28.449223193388377,33.45174467779573,20.869286934866043,,,,,,,,,,
612,G_CACHED,2,h001_030,3.1708858018062167,3.4971141581288192,0.33859408692480181,,,,,,,,,,
612,G_CACHED,2,h031_090,13.152160203316695,15.16879394919706,5.3079994422938599,,,,,,,,,,
