origin,arm,seed,step,target_index,distance,point,observed,prediction
612,G10_ANCHOR_UNIFORM,ensemble,0,673,62,ATU5,525.89653302752197,527.27060324278614
612,G10_ANCHOR_UNIFORM,ensemble,0,673,62,MJ3,1193.0656881806619,1217.8240800783519
612,G10_ANCHOR_UNIFORM,ensemble,0,673,62,MJ1,898.58240594170161,886.07485428254085
612,G10_ANCHOR_UNIFORM,ensemble,0,674,63,ATU1,424.07148009793502,422.19436499687964
612,G10_ANCHOR_UNIFORM,ensemble,0,674,63,ATU5,526.66894014102104,527.54557060238062
612,G10_ANCHOR_UNIFORM,ensemble,0,674,63,MJ3,1193.0648730052219,1218.2179326609223
612,G10_ANCHOR_UNIFORM,ensemble,0,674,63,MJ1,899.19517159050054,886.31167115023015
612,G10_ANCHOR_UNIFORM,ensemble,0,675,64,ATU1,424.48725505034542,423.52904020528035
612,G10_ANCHOR_UNIFORM,ensemble,0,675,64,ATU5,527.45756730195865,527.81859729393568
612,G10_ANCHOR_UNIFORM,ensemble,0,675,64,MJ3,1193.063383745141,1218.546180036361
612,G10_ANCHOR_UNIFORM,ensemble,0,675,64,MJ1,899.80962966119864,886.44967774035797
612,G10_ANCHOR_UNIFORM,ensemble,0,676,65,ATU1,424.90030964775002,424.7578835129986
612,G10_ANCHOR_UNIFORM,ensemble,0,676,65,ATU5,528.26129476273036,528.09271814166436
612,G10_ANCHOR_UNIFORM,ensemble,0,676,65,MJ3,1193.061330802218,1218.8348410548351
612,G10_ANCHOR_UNIFORM,ensemble,0,676,65,MJ1,900.42494353207098,886.5662223635951
612,G10_ANCHOR_UNIFORM,ensemble,0,677,66,ATU1,425.31067246188587,425.89196353086987
612,G10_ANCHOR_UNIFORM,ensemble,0,677,66,ATU5,529.07900277573185,528.3692580857969
612,G10_ANCHOR_UNIFORM,ensemble,0,677,66,MJ3,1193.058824578254,1219.0916100457985
612,G10_ANCHOR_UNIFORM,ensemble,0,677,66,MJ1,901.04027658139239,886.67446930345852
612,G10_ANCHOR_UNIFORM,ensemble,0,678,67,ATU1,425.71837206448998,426.94773079210319
612,G10_ANCHOR_UNIFORM,ensemble,0,678,67,ATU5,529.90957159335869,528.65484221696533
612,G10_ANCHOR_UNIFORM,ensemble,0,678,67,MJ3,1193.0559754750479,1219.3585870094148
612,G10_ANCHOR_UNIFORM,ensemble,0,678,67,MJ1,901.65479218743758,886.85018252085013
612,G10_ANCHOR_UNIFORM,ensemble,0,679,68,ATU1,426.12343702729942,427.92602954186401
