phase,model,seed,horizon,point,n,mae,rmse
later_exploratory,TCN_DIRECT,0,3,MJ3,291,0.147627658932676,0.20122217476272
later_exploratory,TCN_DIRECT,0,3,MJ1,291,0.178481077248217,0.220621865561079
later_exploratory,TCN_DIRECT,0,4,ATU1,290,0.545867336224815,0.692271667871691
later_exploratory,TCN_DIRECT,0,4,ATU5,290,0.500307239313078,0.641432678134104
later_exploratory,TCN_DIRECT,0,4,MJ3,290,0.198109881827901,0.269482995406756
later_exploratory,TCN_DIRECT,0,4,MJ1,290,0.241833104080028,0.297602324110636
later_exploratory,TCN_DIRECT,0,5,ATU1,289,0.68712590236173,0.855249430620946
later_exploratory,TCN_DIRECT,0,5,ATU5,289,0.65217049978883,0.828897207029501
later_exploratory,TCN_DIRECT,0,5,MJ3,289,0.248284215655526,0.336122439436145
later_exploratory,TCN_DIRECT,0,5,MJ1,289,0.306197833131634,0.374424541460446
