stage,model,component,phase,valid_days,mask_sha256,station,metric,value,unit,status
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,four_point_mean,mae,9.58134502764985,mm,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,ATU1,crps,6.098811647234667,mm,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,ATU5,crps,8.891175617286315,mm,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,MJ3,crps,8.363246865286941,mm,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,MJ1,crps,4.905674619629015,mm,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,four_point_mean,crps,7.064727187359234,mm,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,ATU1,picp_80,0.9251968503937008,fraction,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,ATU5,picp_80,0.7440944881889764,fraction,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,MJ3,picp_80,0.65748031496063,fraction,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,MJ1,picp_80,0.9671916010498688,fraction,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,four_point_mean,picp_80,0.823490813648294,fraction,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,ATU1,width_80,33.89350009961352,mm,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,ATU5,width_80,33.89350009961352,mm,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,MJ3,width_80,33.89350009961363,mm,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,MJ1,width_80,33.893500099613625,mm,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,four_point_mean,width_80,33.893500099613576,mm,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,ATU1,interval_score_80,46.17878651826304,mm,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,ATU5,interval_score_80,57.58421492074796,mm,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,MJ3,interval_score_80,53.54590724803451,mm,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,MJ1,interval_score_80,34.2482269909722,mm,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,four_point_mean,interval_score_80,47.88928391950443,mm,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,ATU1,picp_90,0.9422572178477692,fraction,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,ATU5,picp_90,0.8871391076115486,fraction,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,MJ3,picp_90,0.7545931758530183,fraction,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,MJ1,picp_90,1.0,fraction,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,four_point_mean,picp_90,0.895997375328084,fraction,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,ATU1,width_90,43.50183614124835,mm,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,ATU5,width_90,43.50183614124835,mm,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,MJ3,width_90,43.501836141248226,mm,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,MJ1,width_90,43.50183614124842,mm,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,four_point_mean,width_90,43.50183614124833,mm,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,ATU1,interval_score_90,61.82392206588021,mm,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,ATU5,interval_score_90,73.1162829161285,mm,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,MJ3,interval_score_90,53.72047569985527,mm,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,MJ1,interval_score_90,43.50183614124842,mm,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,four_point_mean,interval_score_90,58.0406292057781,mm,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,ATU1,picp_95,0.9553805774278216,fraction,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,ATU5,picp_95,0.9330708661417324,fraction,valid
development,M1,seed_0,train,762,00dd6fe7635650a9df5e3eac17975f70eeb501e8d32ba19a9c689f505c339194,MJ3,picp_95,0.968503937007874,fraction,valid
